date,price
2013-06-21 00,210
2013-06-21 01,173
2013-06-21 02,143
2013-06-21 03,119
2013-06-21 04,104
2013-06-21 05,96
2013-06-21 06,94
2013-06-21 07,111
2013-06-21 08,158
2013-06-21 09,256
2013-06-21 10,367
2013-06-21 11,400
2013-06-21 12,401
2013-06-21 13,360
2013-06-21 14,245
2013-06-21 15,168
2013-06-21 16,145
2013-06-21 17,143
2013-06-21 18,139
2013-06-21 19,135
2013-06-21 20,137
2013-06-21 21,142
2013-06-21 22,153
2013-06-21 23,168
2013-06-22 00,180
2013-06-22 01,183
2013-06-22 02,180
2013-06-22 03,179
2013-06-22 04,177
2013-06-22 05,180
2013-06-22 06,190
2013-06-22 07,231
2013-06-22 08,292
2013-06-22 09,323
2013-06-22 10,326
2013-06-22 11,322
2013-06-22 12,319
2013-06-22 13,263
2013-06-22 14,178
2013-06-22 15,122
2013-06-22 16,85
2013-06-22 17,73
2013-06-22 18,73
2013-06-22 19,77
2013-06-22 20,82
2013-06-22 21,87
2013-06-22 22,90
2013-06-22 23,91
2013-06-23 00,91
2013-06-23 01,90
2013-06-23 02,88
2013-06-23 03,89
2013-06-23 04,93
2013-06-23 05,99
2013-06-23 06,104
2013-06-23 07,106
2013-06-23 08,105
2013-06-23 09,101
2013-06-23 10,96
2013-06-23 11,90
2013-06-23 12,83
2013-06-23 13,80
2013-06-23 14,78
2013-06-23 15,78
2013-06-23 16,77
2013-06-23 17,77
2013-06-23 18,76
2013-06-23 19,75
2013-06-23 20,75
2013-06-23 21,76
2013-06-23 22,79
2013-06-23 23,80
2013-06-24 00,76
2013-06-24 01,70
2013-06-24 02,64
2013-06-24 03,59
2013-06-24 04,54
2013-06-24 05,51
2013-06-24 06,48
2013-06-24 07,47
2013-06-24 08,47
2013-06-24 09,47
2013-06-24 10,49
2013-06-24 11,52
2013-06-24 12,54
2013-06-24 13,59
2013-06-24 14,65
2013-06-24 15,72
2013-06-24 16,79
2013-06-24 17,82
2013-06-24 18,79
2013-06-24 19,75
2013-06-24 20,72
2013-06-24 21,68
2013-06-24 22,65
2013-06-24 23,61
